Time,Line 2 TO 14 CKT 1,Line 2 TO 21 CKT 1,Line 19 TO 3 CKT 1,Line 141 TO 3 CKT 1,Line 4 TO 18 CKT 1,Line 4 TO 19 CKT 1,Line 4 TO 30 CKT 1,Line 5 TO 16 CKT 1,Line 5 TO 30 CKT 1,Line 6 TO 13 CKT 1,Line 6 TO 14 CKT 1,Line 6 TO 28 CKT 1,Line 7 TO 8 CKT 1,Line 7 TO 38 CKT 1,Line 8 TO 23 CKT 1,Transformer 8 TO 102 CKT 1,Line 9 TO 23 CKT 1,Line 9 TO 26 CKT 1,Line 9 TO 39 CKT 1,Line 10 TO 25 CKT 1,Line 10 TO 141 CKT 1,Line 11 TO 14 CKT 1,Transformer 11 TO 98 CKT 1,Line 12 TO 13 CKT 1,Line 12 TO 143 CKT 1,Line 13 TO 16 CKT 1,Transformer 14 TO 108 CKT 1,Line 15 TO 17 CKT 1,Line 141 TO 15 CKT 1,Line 16 TO 26 CKT 1,Line 17 TO 21 CKT 1,Line 141 TO 17 CKT 1,Line 141 TO 17 CKT 2,Line 18 TO 22 CKT 1,Line 19 TO 23 CKT 1,Line 83 TO 20 CKT 1,Line 20 TO 143 CKT 1,Line 21 TO 29 CKT 1,Line 22 TO 29 CKT 1,Line 22 TO 30 CKT 1,Line 22 TO 30 CKT 2,Transformer 22 TO 101 CKT 1,Transformer 22 TO 101 CKT 2,Transformer 23 TO 96 CKT 1,Line 84 TO 24 CKT 1,Line 24 TO 143 CKT 1,Line 90 TO 25 CKT 1,Line 91 TO 25 CKT 1,Line 89 TO 26 CKT 1,Transformer 27 TO 106 CKT 1,Line 140 TO 27 CKT 1,Line 28 TO 29 CKT 1,Line 31 TO 38 CKT 1,Line 31 TO 40 CKT 1,Line 31 TO 41 CKT 1,Line 32 TO 36 CKT 1,Line 32 TO 40 CKT 1,Line 145 TO 32 CKT 1,Line 33 TO 37 CKT 1,Line 61 TO 33 CKT 1,Transformer 33 TO 107 CKT 1,Line 35 TO 34 CKT 1,Line 34 TO 36 CKT 1,Line 35 TO 37 CKT 1,Line 35 TO 145 CKT 1,Line 35 TO 145 CKT 2,Line 37 TO 38 CKT 1,Line 140 TO 39 CKT 1,Line 40 TO 41 CKT 1,Transformer 40 TO 94 CKT 1,Line 145 TO 40 CKT 1,Line 42 TO 43 CKT 1,Line 44 TO 42 CKT 1,Line 45 TO 42 CKT 1,Line 47 TO 43 CKT 1,Transformer 43 TO 97 CKT 1,Line 44 TO 149 CKT 1,Line 45 TO 48 CKT 1,Transformer 45 TO 103 CKT 1,Line 46 TO 47 CKT 1,Line 46 TO 149 CKT 1,Line 47 TO 48 CKT 1,Line 49 TO 52 CKT 1,Line 49 TO 63 CKT 1,Transformer 49 TO 109 CKT 1,Line 50 TO 55 CKT 1,Line 50 TO 56 CKT 1,Line 50 TO 64 CKT 1,Line 51 TO 54 CKT 1,Line 51 TO 58 CKT 1,Line 51 TO 149 CKT 1,Line 52 TO 56 CKT 1,Line 52 TO 60 CKT 1,Line 53 TO 62 CKT 1,Line 53 TO 138 CKT 1,Line 53 TO 138 CKT 2,Line 54 TO 60 CKT 1,Transformer 54 TO 93 CKT 1,Line 55 TO 138 CKT 1,Line 56 TO 58 CKT 1,Line 56 TO 63 CKT 1,Line 57 TO 59 CKT 1,Line 57 TO 90 CKT 1,Line 59 TO 138 CKT 1,Line 61 TO 62 CKT 1,Line 62 TO 64 CKT 1,Line 63 TO 64 CKT 1,Transformer 63 TO 92 CKT 1,Transformer 64 TO 100 CKT 1,Line 65 TO 73 CKT 1,Line 65 TO 83 CKT 1,Line 65 TO 86 CKT 1,Line 66 TO 67 CKT 1,Line 66 TO 71 CKT 1,Line 67 TO 75 CKT 1,Line 67 TO 136 CKT 1,Line 67 TO 136 CKT 2,Line 68 TO 73 CKT 1,Line 68 TO 85 CKT 1,Line 69 TO 70 CKT 1,Line 69 TO 87 CKT 1,Line 70 TO 72 CKT 1,Line 70 TO 136 CKT 1,Line 71 TO 72 CKT 1,Line 71 TO 74 CKT 1,Line 71 TO 74 CKT 2,Line 71 TO 82 CKT 1,Transformer 71 TO 104 CKT 1,Line 73 TO 136 CKT 1,Line 74 TO 78 CKT 1,Line 75 TO 78 CKT 1,Line 76 TO 77 CKT 1,Line 76 TO 78 CKT 1,Line 76 TO 79 CKT 1,Line 77 TO 81 CKT 1,Line 79 TO 80 CKT 1,Line 79 TO 81 CKT 1,Transformer 79 TO 99 CKT 1,Transformer 79 TO 99 CKT 2,Line 80 TO 82 CKT 1,Line 85 TO 84 CKT 1,Transformer 86 TO 95 CKT 1,Line 87 TO 147 CKT 1,Line 88 TO 89 CKT 1,Line 88 TO 147 CKT 1,Line 90 TO 91 CKT 1,Transformer 90 TO 105 CKT 1,Line 92 TO 100 CKT 1,Line 109 TO 92 CKT 1,Line 93 TO 97 CKT 1,Line 109 TO 93 CKT 1,Line 150 TO 93 CKT 1,Line 106 TO 94 CKT 1,Line 146 TO 94 CKT 1,Line 137 TO 95 CKT 1,Line 144 TO 95 CKT 1,Line 148 TO 95 CKT 1,Line 96 TO 101 CKT 1,Line 96 TO 102 CKT 1,Line 103 TO 97 CKT 1,Line 150 TO 97 CKT 1,Line 98 TO 108 CKT 1,Line 144 TO 98 CKT 1,Line 104 TO 99 CKT 1,Line 99 TO 137 CKT 1,Line 139 TO 100 CKT 1,Line 108 TO 101 CKT 1,Line 142 TO 101 CKT 1,Line 144 TO 101 CKT 1,Line 105 TO 102 CKT 1,Line 106 TO 102 CKT 1,Line 104 TO 137 CKT 1,Line 146 TO 105 CKT 1,Line 109 TO 107 CKT 1,Line 107 TO 139 CKT 1,Line 146 TO 107 CKT 1,Line 144 TO 108 CKT 1,Transformer 136 TO 137 CKT 1,Transformer 136 TO 137 CKT 2,Transformer 138 TO 139 CKT 1,Transformer 138 TO 139 CKT 2,Transformer 141 TO 142 CKT 1,Transformer 141 TO 142 CKT 2,Transformer 143 TO 144 CKT 1,Transformer 143 TO 144 CKT 2,Transformer 145 TO 146 CKT 1,Transformer 145 TO 146 CKT 2,Transformer 147 TO 148 CKT 1,Transformer 149 TO 150 CKT 1,Transformer 149 TO 150 CKT 2
6.066667,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.133333,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.2,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.266667,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.333333,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.4,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.466667,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.533333,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.6,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.666667,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
6.733333,435.3938,63.0661,112.9723,532.7297,249.955,140.3058,33.7924,312.5876,747.665,299.2485,586.0193,130.0197,160.2761,194.5599,256.0166,902.3244,455.2432,266.1297,248.3131,27.321,167.5706,360.5982,839.9367,370.7151,692.5517,233.7405,1160.5895,19.1784,443.1317,273.7956,505.1251,465.5025,465.5025,583.3093,442.7246,195.273,446.0015,90.0014,843.6708,574.4116,574.4116,1486.454,1486.454,1114.4154,440.7292,590.2974,134.5405,28.6205,112.1228,854.695,354.3907,465.4833,127.7827,391.2765,124.3155,62.4572,68.7108,413.8563,61.7342,295.6101,852.1364,357.8255,48.6242,337.2636,555.7463,555.7463,173.1758,418.9473,532.2847,1057.08,403.5061,222.3594,72.904,100.5837,187.2009,887.1814,362.2919,100.1237,702.5776,249.2522,486.3622,37.3664,403.7774,34.762,890.5214,61.8532,75.919,402.1384,189.4233,51.6136,317.7045,60.6287,144.3222,463.1931,465.3597,465.3597,185.3225,841.4855,348.1494,129.4234,565.1383,180.1385,153.3196,484.7908,51.3178,78.3772,120.33,951.1556,1005.9359,57.1277,30.1714,376.9258,299.8214,74.2465,371.2554,533.4806,533.4806,73.912,108.3769,101.5675,65.063,351.5136,535.7259,80.5889,359.1985,359.1985,258.3306,1500.5001,237.0748,264.6115,43.1972,170.5161,227.0475,830.1554,216.7927,584.3755,641.2759,1225.9475,1225.9475,151.5843,272.1853,845.4624,306.3953,377.1413,545.2341,137.3144,920.3521,749.222,336.5121,263.9182,661.3581,43.2115,674.4414,1133.1612,322.2937,849.1459,183.2153,342.0327,177.9641,323.1857,439.2466,288.6089,656.9408,280.5043,844.5657,1191.7797,434.9819,534.4443,679.6531,260.2513,287.5517,964.3609,664.8926,717.9012,150.0731,945.4491,651.1862,912.4138,912.4138,877.2761,877.2761,1035.3882,1035.3882,860.0115,860.0115,963.7257,963.7257,845.4531,577.3896,577.3896
